SO_Number,Customer_ID,Customer_PO,Shipping_Address_ID,Item_Code,Qty_Sold,Unit_Price_EUR,Line_Total_EUR,Order_Date,Delivery_Date,Status,Integration_Key
SO-2025-0001,ACME,CUST-PO-999,ACME-SHIPPING,FILTER-A10,2,12.50,25.00,2025-02-20,2025-03-02,Draft,INT-0001
SO-2025-0001,ACME,CUST-PO-999,ACME-SHIPPING,THERM-B1,1,45.00,45.00,2025-02-20,2025-03-02,Draft,INT-0001
SO-2025-0002,ACME,PO-4181,ACME-SHIPPING,ITEM-GEN-020,11,19.80,217.80,2025-02-04,2025-02-24,Processing,INT-0002
SO-2025-0003,KRASOVEC,PO-6589,KRASOVEC-SHIPPING,ITEM-GEN-026,16,116.48,1863.68,2025-03-12,2025-03-31,Processing,INT-0003
SO-2025-0003,KRASOVEC,PO-6589,KRASOVEC-SHIPPING,ITEM-GEN-029,16,97.62,1561.92,2025-03-12,2025-03-31,Processing,INT-0003
SO-2025-0004,CUST-012,PO-7526,CUST-012-SHIPPING,ITEM-GEN-011,17,20.62,350.54,2025-04-10,2025-04-12,Shipped,INT-0004
SO-2025-0004,CUST-012,PO-7526,CUST-012-SHIPPING,ITEM-GEN-013,5,53.17,265.85,2025-04-10,2025-04-12,Shipped,INT-0004
SO-2025-0004,CUST-012,PO-7526,CUST-012-SHIPPING,ITEM-GEN-030,20,122.35,2447.00,2025-04-10,2025-04-12,Shipped,INT-0004
SO-2025-0004,CUST-012,PO-7526,CUST-012-SHIPPING,NON-STOCK-01,1,99.00,99.00,2025-04-10,2025-04-12,Shipped,INT-0004
SO-2025-0005,CUST-010,PO-9101,CUST-010-SHIPPING,ITEM-GEN-012,15,59.97,899.55,2025-02-13,2025-03-05,Draft,INT-0005
SO-2025-0006,CUST-006,PO-7893,CUST-006-SHIPPING,ITEM-GEN-011,6,20.62,123.72,2025-02-10,2025-02-23,Processing,INT-0006
SO-2025-0006,CUST-006,PO-7893,CUST-006-SHIPPING,ITEM-GEN-026,13,116.48,1514.24,2025-02-10,2025-02-23,Processing,INT-0006
SO-2025-0006,CUST-006,PO-7893,CUST-006-SHIPPING,ITEM-GEN-025,2,73.05,146.10,2025-02-10,2025-02-23,Processing,INT-0006
SO-2025-0006,CUST-006,PO-7893,CUST-006-SHIPPING,AMBIG-24V,14,6.00,84.00,2025-02-10,2025-02-23,Processing,INT-0006
SO-2025-0007,CUST-007,PO-9199,CUST-007-SHIPPING,ITEM-GEN-012,4,59.97,239.88,2025-02-03,2025-02-10,Cancelled,INT-0007
SO-2025-0007,CUST-007,PO-9199,CUST-007-SHIPPING,THERM-B1,9,45.00,405.00,2025-02-03,2025-02-10,Cancelled,INT-0007
SO-2025-0007,CUST-007,PO-9199,CUST-007-SHIPPING,ITEM-GEN-030,17,122.35,2079.95,2025-02-03,2025-02-10,Cancelled,INT-0007
SO-2025-0007,CUST-007,PO-9199,CUST-007-SHIPPING,ITEM-GEN-010,20,116.50,2330.00,2025-02-03,2025-02-10,Cancelled,INT-0007
SO-2025-0008,CUST-006,PO-1899,CUST-006-SHIPPING,ITEM-GEN-010,11,116.50,1281.50,2025-02-18,2025-02-21,Cancelled,INT-0008
SO-2025-0008,CUST-006,PO-1899,CUST-006-SHIPPING,THERM-P1,8,85.00,680.00,2025-02-18,2025-02-21,Cancelled,INT-0008
SO-2025-0008,CUST-006,PO-1899,CUST-006-SHIPPING,ITEM-GEN-015,15,86.34,1295.10,2025-02-18,2025-02-21,Cancelled,INT-0008
SO-2025-0008,CUST-006,PO-1899,CUST-006-SHIPPING,ITEM-GEN-019,9,50.74,456.66,2025-02-18,2025-02-21,Cancelled,INT-0008
SO-2025-0009,CUST-008,PO-6636,CUST-008-SHIPPING,ITEM-GEN-011,4,20.62,82.48,2025-02-01,2025-02-17,Cancelled,INT-0009
SO-2025-0009,CUST-008,PO-6636,CUST-008-SHIPPING,FILTER-A20,1,18.90,18.90,2025-02-01,2025-02-17,Cancelled,INT-0009
SO-2025-0009,CUST-008,PO-6636,CUST-008-SHIPPING,AMBIG-12V,14,5.00,70.00,2025-02-01,2025-02-17,Cancelled,INT-0009
SO-2025-0010,CUST-011,PO-9133,CUST-011-SHIPPING,ITEM-GEN-016,18,28.75,517.50,2025-04-04,2025-04-10,Delivered,INT-0010
SO-2025-0011,MESSERSCHMITT,PO-6338,MESSERSCHMITT-SHIPPING,ITEM-GEN-015,17,86.34,1467.78,2025-02-17,2025-02-26,Cancelled,INT-0011
SO-2025-0012,CUST-010,PO-5730,CUST-010-SHIPPING,ITEM-GEN-024,3,88.14,264.42,2025-04-01,2025-04-21,Draft,INT-0012
SO-2025-0012,CUST-010,PO-5730,CUST-010-SHIPPING,ITEM-GEN-013,9,53.17,478.53,2025-04-01,2025-04-21,Draft,INT-0012
SO-2025-0012,CUST-010,PO-5730,CUST-010-SHIPPING,NON-STOCK-01,10,99.00,990.00,2025-04-01,2025-04-21,Draft,INT-0012
SO-2025-0013,MESSERSCHMITT,PO-7816,MESSERSCHMITT-SHIPPING,ITEM-GEN-016,6,28.75,172.50,2025-02-15,2025-03-02,Draft,INT-0013
SO-2025-0014,CUST-004,PO-1763,CUST-004-SHIPPING,ITEM-GEN-010,15,116.50,1747.50,2025-02-04,2025-02-22,Processing,INT-0014
SO-2025-0014,CUST-004,PO-1763,CUST-004-SHIPPING,ITEM-GEN-016,8,28.75,230.00,2025-02-04,2025-02-22,Processing,INT-0014
SO-2025-0015,CUST-005,PO-9647,CUST-005-SHIPPING,ITEM-GEN-026,3,116.48,349.44,2025-01-12,2025-01-17,Delivered,INT-0015
SO-2025-0015,CUST-005,PO-9647,CUST-005-SHIPPING,AMBIG-24V,13,6.00,78.00,2025-01-12,2025-01-17,Delivered,INT-0015
SO-2025-0015,CUST-005,PO-9647,CUST-005-SHIPPING,ITEM-GEN-017,14,117.17,1640.38,2025-01-12,2025-01-17,Delivered,INT-0015
SO-2025-0016,CUST-008,PO-2817,CUST-008-SHIPPING,ITEM-GEN-017,5,117.17,585.85,2025-01-08,2025-01-28,Delivered,INT-0016
SO-2025-0016,CUST-008,PO-2817,CUST-008-SHIPPING,ITEM-GEN-012,7,59.97,419.79,2025-01-08,2025-01-28,Delivered,INT-0016
SO-2025-0016,CUST-008,PO-2817,CUST-008-SHIPPING,THERM-S1,7,120.00,840.00,2025-01-08,2025-01-28,Delivered,INT-0016
SO-2025-0016,CUST-008,PO-2817,CUST-008-SHIPPING,ITEM-GEN-016,8,28.75,230.00,2025-01-08,2025-01-28,Delivered,INT-0016
