Item_Code,Warehouse,Actual_Qty,Projected_Qty,Reserved_Qty
FILTER-A10,Demo Warehouse Helsinki,5,5,0
FILTER-A10,Demo Warehouse Ljubljana,7,7,0
FILTER-A20,Demo Warehouse Helsinki,0,0,0
THERM-B1,Demo Warehouse Ohio,3,3,0
THERM-P1,Demo Warehouse Helsinki,2,2,0
THERM-S1,Demo Warehouse Helsinki,15,10,5
THERM-S1,Demo Warehouse Ohio,25,25,0
AMBIG-12V,Demo Warehouse Ljubljana,15,15,0
AMBIG-24V,Demo Warehouse Helsinki,46,46,0
ITEM-GEN-009,Demo Warehouse Ohio,40,40,0
ITEM-GEN-010,Demo Warehouse Ljubljana,57,57,0
ITEM-GEN-011,Demo Warehouse Ohio,47,47,0
ITEM-GEN-012,Demo Warehouse Ohio,61,61,0
ITEM-GEN-013,Demo Warehouse Ljubljana,40,40,0
ITEM-GEN-014,Demo Warehouse Ohio,42,42,0
ITEM-GEN-015,Demo Warehouse Ljubljana,45,45,0
ITEM-GEN-016,Demo Warehouse Helsinki,67,67,0
ITEM-GEN-017,Demo Warehouse Ohio,36,36,0
ITEM-GEN-018,Demo Warehouse Ohio,11,11,0
ITEM-GEN-019,Demo Warehouse Ljubljana,62,62,0
ITEM-GEN-020,Demo Warehouse Ljubljana,17,17,0
ITEM-GEN-021,Demo Warehouse Ljubljana,31,31,0
ITEM-GEN-022,Demo Warehouse Ohio,31,31,0
ITEM-GEN-023,Demo Warehouse Helsinki,65,65,0
ITEM-GEN-024,Demo Warehouse Ljubljana,38,38,0
ITEM-GEN-025,Demo Warehouse Ohio,56,56,0
ITEM-GEN-026,Demo Warehouse Ljubljana,17,17,0
ITEM-GEN-027,Demo Warehouse Helsinki,58,58,0
ITEM-GEN-028,Demo Warehouse Helsinki,65,65,0
ITEM-GEN-029,Demo Warehouse Ljubljana,24,24,0
ITEM-GEN-030,Demo Warehouse Ljubljana,30,30,0
