PO_Number,Supplier_ID,Item_Code,Order_Qty,Order_Date,Expected_Delivery,Status
PO-2025-0001,SUP-03,ITEM-GEN-011,13,2025-02-03,2025-02-21,Pending
PO-2025-0001,SUP-03,ITEM-GEN-014,91,2025-02-03,2025-02-21,Pending
PO-2025-0001,SUP-03,ITEM-GEN-012,91,2025-02-03,2025-02-21,Pending
PO-2025-0002,SUP-02,ITEM-GEN-022,20,2025-02-23,2025-02-28,In_Transit
PO-2025-0002,SUP-02,NON-STOCK-01,90,2025-02-23,2025-02-28,In_Transit
PO-2025-0003,SUP-01,ITEM-GEN-010,93,2025-04-08,2025-04-27,Cancelled
PO-2025-0003,SUP-01,THERM-S1,47,2025-04-08,2025-04-27,Cancelled
PO-2025-0003,SUP-01,ITEM-GEN-030,59,2025-04-08,2025-04-27,Cancelled
PO-2025-0004,SUP-03,THERM-P1,85,2025-01-17,2025-02-06,Completed
PO-2025-0004,SUP-03,ITEM-GEN-021,59,2025-01-17,2025-02-06,Completed
PO-2025-0004,SUP-03,AMBIG-12V,65,2025-01-17,2025-02-06,Completed
PO-2025-0005,SUP-01,FILTER-A10,95,2025-04-05,2025-04-12,Cancelled
PO-2025-0005,SUP-01,ITEM-GEN-012,67,2025-04-05,2025-04-12,Cancelled
PO-2025-0005,SUP-01,ITEM-GEN-015,48,2025-04-05,2025-04-12,Cancelled
PO-2025-0006,SUP-04,ITEM-GEN-011,75,2025-04-10,2025-04-13,In_Transit
PO-2025-0006,SUP-04,ITEM-GEN-028,81,2025-04-10,2025-04-13,In_Transit
PO-2025-0006,SUP-04,ITEM-GEN-017,27,2025-04-10,2025-04-13,In_Transit
PO-2025-0007,SUP-03,ITEM-GEN-029,82,2025-03-06,2025-03-12,Completed
PO-2025-0008,SUP-03,ITEM-GEN-029,51,2025-01-12,2025-01-23,In_Transit
PO-2025-0009,SUP-03,ITEM-GEN-017,35,2025-02-20,2025-02-24,Pending
